,Study,Exercise,Data Structure,Academic Work,reading,Screen Time ≤ 1Hour,Sleep ≤ 6 hrs
Day 1,True,True,True,True,True,True,True
Day 2,True,True,True,True,False,False,True
Day 3,False,False,False,False,False,False,False
Day 4,False,False,False,False,False,False,False
Day 5,False,False,False,False,False,False,False
Day 6,False,False,False,False,False,False,False
Day 7,False,False,False,False,False,False,False
Day 8,False,False,False,False,False,False,False
Day 9,False,False,False,False,False,False,False
Day 10,False,False,False,False,False,False,False
Day 11,False,False,False,False,False,False,False
Day 12,False,False,False,False,False,False,False
Day 13,False,False,False,False,False,False,False
Day 14,False,False,False,False,False,False,False
Day 15,False,False,False,False,False,False,False
Day 16,False,False,False,False,False,False,False
Day 17,False,False,False,False,False,False,False
Day 18,False,False,False,False,False,False,False
Day 19,False,False,False,False,False,False,False
Day 20,False,False,False,False,False,False,False
Day 21,False,False,False,False,False,False,False
Day 22,False,False,False,False,False,False,False
Day 23,False,False,False,False,False,False,False
Day 24,False,False,False,False,False,False,False
Day 25,False,False,False,False,False,False,False
Day 26,False,False,False,False,False,False,False
Day 27,False,False,False,False,False,False,False
Day 28,False,False,False,False,False,False,False
Day 29,False,False,False,False,False,False,False
Day 30,False,False,False,False,False,False,False
